KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
28;6680855000;;Mep.Fruchtbox Campus Stitch 300ml;8 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6680855000;;Mep.Trinkflasche Pop-Up Cam.Stitch 400ml;8 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6404138000;6;Mep.Fruchtbox Campus Stitch 300ml;2 KT;960;;;;3,781;8,99;50;8,99;50;8,99;50;L;;;;1;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6404140003;2;Mep.Trinkflasche Pop-Up Cam.Stitch 400ml;2 KT;768;;;;4,569;9,99;46;9,99;46;9,99;46;L;;;;1;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6404161000;4;Mep.Brotdose Campus Stitch;2 KT;360;;;;4,359;9,99;48;9,99;48;9,99;48;L;;;;1;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7076950004;6;Ibis Grillen orientalisch 4f.80ST DP;1 DP;4;;;;97,72;173,2;40;161,2;35;155,2;33;L;EK;28;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7076950004;;Ibis Orientalische Fladenbrote 5ST 250g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7076950004;;Ibis Pita Sticks 250g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7076950004;;Ibis Mini Pita 360g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;7076950004;;Ibis Mini Fladenbrote 2ST 200g;20 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6913562008;2;Nescafe Espresso Conc.3f.48x500ml 1/4CH;48 ST;4;;;;4,127;6,49;32;6,29;30;6,29;30;L;EK;80;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6913562008;;Nescafe Espresso Concentrate Black 500ml;12 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6913562008;;Nescafe Espresso Concentr.Vanilla 500ml;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6913562008;;Nescafe Espresso Concentr.Caramel 500ml;18 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;136388005;0;La Cidraie herb 0,75l;6 FL;42;;;;1,264;2,69;44;2,49;40;2,39;37;L;EK;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;136387002;0;La Cidraie mild 0,75l;6 FL;42;;;;1,264;2,69;44;2,49;40;2,39;37;L;EK;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6880640008;4;Gerol.Flow Mix 3f.138x0,5l DPG DP;138 ST;4;;;;0,999;1,99;40;1,89;37;1,79;34;L;EK;46;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6880640008;;Gerol.Flow Limette&Ingwer 0,5l DPG;45 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6880640008;;Gerol.Flow Pfirsich&Granatapfel 0,5l DPG;48 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6880640008;;Gerol.Flow Orange&Mandarine 0,5l DPG;45 ST;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6146135008;4;Lübzer Naturradler 2f.10x24x0,5l DPG DP;10 KOA;4;;;;0,528;0,95;34;0,85;26;0,85;26;L;EK;180;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
28;6146135008;;Lübzer Grapefruit 0,5l DPG;5 KOA;0;;;;;;;;;;;L;;;;0;05.07.2026;11.07.2026;29.06.2026;Eigenaktivitäten;
