KW;Artikelnr.;Prüfziffer;Artikelbezeichnung;Abgabemenge;Palette;SA-GP;SA-VK;Spanne;N-GP;VK1;Spanne;VK2;Spanne;VK3;Spanne;KZ L/S;Einmalkauf;MHD;Sondertext;Druckkz;Endverbr. von;Endverbr. Bis;Lieferd. Von;Sortiment;
27;6995018008;;Siku Straßenwalze Gr.08;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku Polizei Wasserwerfer Gr.10;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku Feuerwehr Hubrettungsbühne Gr.10;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1103 Baggerlader;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1104 Kehrmaschine;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1107 LKW m.Kofferaufbau Sixt Gr.11;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku Campervan;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 0805 Krankenwagen 1:55;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 0817 Space-Shuttle 7,2cm;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1015 Feuerwehrdrehleiter 1:55;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1034 Tanklöschfahrzeug 1:55;10 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 1085 DHL Postwagen 1:55;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6995018008;;Siku 0856 Rettungs-Hubschr.8,1x6,7x3,1cm;15 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;231225009;5;Siku 0805 Krankenwagen 1:55;1 PA;0;;;;1,662;3,99;50;3,99;50;3,99;50;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;231230001;1;Siku 0817 Space-Shuttle 7,2cm;1 PA;0;;;;1,662;3,99;50;3,99;50;3,99;50;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;231239008;1;Siku 1015 Feuerwehrdrehleiter 1:55;5 PA;250;;;;2,082;3,99;38;3,99;38;3,99;38;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;231257006;3;Siku 1085 DHL Postwagen 1:55;5 PA;250;;;;2,082;3,99;38;3,99;38;3,99;38;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;231971005;9;Siku 0856 Rettungs-Hubschr.8,1x6,7x3,1cm;1 PA;0;;;;1,662;3,99;50;3,99;50;3,99;50;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;1001319007;7;Siku 1013 Nahverkehrszug 1:87;50 PA;0;;;;2,082;3,99;38;3,99;38;3,99;38;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;1001463003;9;Siku 1075 LKW mit Kippmulde 1:55;5 PA;250;;;;2,082;3,99;38;3,99;38;3,99;38;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;4277937003;5;Siku Straßenwalze Gr.08;50 PA;0;;;;1,662;3,99;50;3,99;50;3,99;50;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;4277938006;5;Siku Polizei Wasserwerfer Gr.10;50 PA;0;;;;2,082;3,99;38;3,99;38;3,99;38;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;4277969000;3;Siku Feuerwehr Hubrettungsbühne Gr.10;50 PA;0;;;;2,082;3,99;38;3,99;38;3,99;38;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;4895304001;5;Siku 1103 Baggerlader;5 PA;250;;;;2,082;3,99;38;3,99;38;3,99;38;L;;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;5252643005;9;Siku 1104 Kehrmaschine;50 PA;0;;;;2,082;3,99;38;3,99;38;3,99;38;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;5312911006;5;Siku 1107 LKW m.Kofferaufbau Sixt Gr.11;3 PA;0;;;;2,082;3,99;38;3,99;38;3,99;38;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;6652218002;3;Siku Campervan;3 PA;0;;;;2,082;3,99;38;3,99;38;3,99;38;L;EK;;;1;28.06.2026;04.07.2026;22.06.2026;Eigenaktivitäten;
27;7102831002;7;Prec.Mat.Lat. Cl/Ma 0,25l DPG;80 ST;4;;;;1,187;2,29;38;2,19;35;1,99;29;L;EK;80;;0;28.06.2026;04.07.2026;27.06.2026;Social Media;
27;7102831002;;Precision Matcha Latte Classic 0,25l DPG;40 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;27.06.2026;Social Media;
27;7102831002;;Precision Matcha Latte Mango 0,25l DPG;40 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;27.06.2026;Social Media;
27;7038732006;7;Kikis K.Frosti Pops 150g;12 BE;234;;;;3,377;5,49;34;5,29;32;4,99;28;L;EK;300;;0;28.06.2026;04.07.2026;22.06.2026;Social Media;
27;7006012002;1;Precision 3,5%+1,5% 2f.60x1l DPG DP;60 ST;4;;;;1,534;2,59;30;2,49;27;2,39;24;L;EK;80;;0;28.06.2026;04.07.2026;22.06.2026;Social Media;
27;7006012002;;Precision Voll 3,5% 1l DPG;30 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Social Media;
27;7006012002;;Precision Fettarm 1,5% 1l DPG;30 ST;0;;;;;;;;;;;L;;;;0;28.06.2026;04.07.2026;22.06.2026;Social Media;
27;4543774008;9;Milino Milk Snack Choco Ban.Minions4x30g;12 PA;196;;;;0,839;1,49;40;1,39;35;1,29;30;L;EK;40;;0;28.06.2026;04.07.2026;27.06.2026;Eigenaktivitäten;
27;4121175001;5;MSC G&G Thunfischfilets i.eig.Saft 195g;48 PA;45;0,87;0,95;2;1,048;1,29;28;1,29;28;1,29;28;L;;180;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Grundnahrung;
27;4121126009;5;MSC G&G Thunfischfilets i.Sonn.Öl 195g;48 PA;45;0,87;0,95;2;1,048;1,29;28;1,29;28;1,29;28;L;;180;Wochenend-Knaller;0;02.07.2026;04.07.2026;29.06.2026;Grundnahrung;
27;4143388005;7;MSC G&G Thunfischstücke m.Gemüse 185g;48 DS;45;0,87;0,95;2;0,947;1,39;33;1,39;33;1,39;33;L;;180;Wochenend-Knaller;0;02.07.2026;04.07.2026;29.06.2026;Grundnahrung;
27;6625702000;7;Varta Longlife Power Cube AAA 24ST;16 PA;192;3,739;5,55;20;4,141;9,99;55;9,99;55;9,99;55;L;EK;;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Elektro;
27;6625673003;7;Varta Longlife Power Cube AA 24ST;12 PA;120;4,199;5,55;10;4,533;9,99;50;9,99;50;9,99;50;L;EK;;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Elektro;
27;2584602009;5;Varta Longlife Power Micro AAA 24ST;12 PA;240;3,739;5,55;20;4,141;9,99;55;9,99;55;9,99;55;L;EK;;;1;02.07.2026;04.07.2026;29.06.2026;Elektro;
27;2584603002;5;Varta Longlife Power Mignon AA 24ST;12 PA;120;4,199;5,55;10;4,533;9,99;50;9,99;50;9,99;50;L;EK;;;1;02.07.2026;04.07.2026;29.06.2026;Elektro;
27;5950701007;1;Jack Daniels Coca-Cola 10% 0,33l DPG;24 DS;90;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;;;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;1011322000;1;Jack Daniels & Ginger 10% 0,33l DPG;24 DS;63;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;3316067004;9;Jack Dan.Lynchb.Lem.10%0,33l DPG;12 DS;105;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;3927326004;7;Jack Daniels Berry 10% 0,33l DPG;12 DS;105;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;;;Wochenend-Knaller;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;5952107007;5;Jack Daniels Coke Zero 10% 0,33l DPG;12 DS;105;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;;;Wochenend-Knaller;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;7086181003;9;Jack D.Southerm Lemon 10% 0,33l DPG;12 FL;200;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;7080447002;3;Jack D.Southerm Peach 10% 0,33l DPG;12 FL;200;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6645914005;3;Jack Daniels Mix 5f.144x0,33l DPG DP;144 ST;4;1,367;1,66;2;1,812;3,29;51;2,99;46;2,99;46;L;EK;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6645914005;;Jack Daniels & Ginger 10% 0,33l DPG;12 ST;0;;;;;;;;;;;L;;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6645914005;;Jack Dan.Lynchb.Lem.10%0,33l DPG;12 ST;0;;;;;;;;;;;L;;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6645914005;;Jack Daniels Berry 10% 0,33l DPG;12 ST;0;;;;;;;;;;;L;;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6645914005;;Jack Daniels Coca-Cola 10% 0,33l DPG;96 ST;0;;;;;;;;;;;L;;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6645914005;;Jack Daniels Coke Zero 10% 0,33l DPG;12 ST;0;;;;;;;;;;;L;;;;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;3882748008;5;Pitu Caipirinha 10% 0,33l DPG;12 DS;120;1,319;1,66;5;1,656;3,19;51;2,99;48;2,99;48;L;;;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;4424976002;5;Pitu Brazilian Mojito 10% 0,33l DPG;12 DS;180;1,319;1,66;5;1,656;3,19;51;2,99;48;2,99;48;L;EK;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;5350513008;3;Pitu Passionfr.Caipirinha 10% 0,33l DPG;12 DS;120;1,319;1,66;5;1,656;3,19;51;2,99;48;2,99;48;L;;;Wochenend-Knaller;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6418672004;3;Pitu Strawberry Caipirinha 10% 0,33l DPG;12 DS;180;1,319;1,66;5;1,656;3,19;51;2,99;48;2,99;48;L;EK;;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6568353000;5;Pitu Premium Caipirinha 0,0% 0,33l DPG;12 DS;180;1,319;1,66;5;1,656;3,19;51;2,99;48;2,99;48;L;EK;60;Wochenend-Knaller;1;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;4304933002;5;Havana Club Cola 10% 0,33l DPG;12 DS;160;1,348;1,66;3;1,634;3,29;51;2,99;46;2,99;46;L;;;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6139706006;7;Havana Club Lime Mojito 10% 0,33l DPG;12 DS;120;1,348;1,66;3;1,634;3,29;51;2,99;46;2,99;46;L;;;Wochenend-Knaller;0;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;6270102000;5;Licor 43 & Milk 10% 0,25l DPG;12 DS;240;1,367;1,66;2;1,808;3,29;51;2,99;46;2,99;46;L;;160;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
27;4028682006;7;Three Sixty Vodka Energy 10% 0,33l DPG;12 DS;126;1,331;1,66;5;1,629;2,99;47;2,79;43;2,69;41;L;;;Wochenend-Knaller;2;02.07.2026;04.07.2026;29.06.2026;Wein/Spirituosen;
